board,model,result,iteration,microseconds
esp8266,wine,0,38,6759
esp8266,wine,1,39,6758
esp8266,wine,1,40,6048
esp8266,wine,2,41,6861
esp8266,wine,2,42,6856
esp8266,wine,2,43,6755
esp8266,wine,0,44,6853
esp8266,wine,0,45,6711
esp8266,wine,2,46,6869
esp8266,wine,0,47,6781
esp8266,wine,0,48,6854
esp8266,wine,1,49,6750
esp8266,wine,1,50,6067
esp8266,wine,2,51,6853
esp8266,wine,2,52,6761
esp8266,wine,2,53,6783
esp8266,wine,0,54,6853
esp8266,wine,0,55,6779
esp8266,wine,2,56,6766
esp8266,wine,0,57,6719
esp8266,wine,0,58,6638
esp8266,wine,1,59,6676
esp8266,wine,1,60,5950
esp8266,wine,2,61,6865
esp8266,wine,2,62,6860
esp8266,wine,2,63,7065
esp8266,wine,0,64,6770
esp8266,wine,0,65,6869
esp8266,wine,2,66,6870
esp8266,wine,0,67,6864
esp8266,wine,0,68,6858
esp8266,wine,1,69,6869
esp8266,wine,1,70,6130
esp8266,wine,2,71,6864
esp8266,wine,2,72,6864
esp8266,wine,2,73,6790
esp8266,wine,0,74,6861
esp8266,wine,0,75,6787
esp8266,wine,2,76,6763
esp8266,wine,0,77,6869
esp8266,wine,0,78,6857
esp8266,wine,1,79,6751
esp8266,wine,1,80,6115
esp8266,wine,2,81,6860
esp8266,wine,2,82,6857
esp8266,wine,2,83,6850
esp8266,wine,0,84,6750
esp8266,wine,0,85,6857
esp8266,wine,2,86,6858
esp8266,wine,0,87,6857
esp8266,wine,0,88,6860
esp8266,wine,1,89,6873
esp8266,wine,1,90,6130
esp8266,wine,2,91,6860
esp8266,wine,2,92,6864
esp8266,wine,2,93,6846
esp8266,wine,0,94,6742
esp8266,wine,0,95,6746
esp8266,wine,2,96,6850
esp8266,wine,0,97,6605
esp8266,wine,0,98,6594
esp8266,wine,1,99,6644
esp8266,wine,1,100,5890
esp8266,wine,2,101,6861
esp8266,wine,2,102,6853
esp8266,wine,2,103,6853
esp8266,wine,0,104,6762
esp8266,wine,0,105,6866
esp8266,wine,2,106,6858
esp8266,wine,0,107,6777
esp8266,wine,0,108,6762
esp8266,wine,1,109,6861
esp8266,wine,1,110,6052
esp8266,wine,2,111,6861
esp8266,wine,2,112,6857
esp8266,wine,2,113,6849
esp8266,wine,0,114,6711
esp8266,wine,0,115,6762
esp8266,wine,2,116,6798
esp8266,wine,0,117,6861
esp8266,wine,0,118,6853
esp8266,wine,1,119,6649
esp8266,wine,1,120,6115
esp8266,wine,2,121,6861
esp8266,wine,2,122,6861
esp8266,wine,2,123,6770
esp8266,wine,0,124,6869
esp8266,wine,0,125,6751
esp8266,wine,2,126,6874
esp8266,wine,0,127,6861
esp8266,wine,0,128,6736
esp8266,wine,1,129,6794
esp8266,wine,1,130,6023
esp8266,wine,2,131,6861
esp8266,wine,2,132,6848
esp8266,wine,2,133,6842
esp8266,wine,0,134,6800
esp8266,wine,0,135,6858
esp8266,wine,2,136,6859
esp8266,wine,0,137,6857
esp8266,wine,0,138,6797
esp8266,wine,1,139,6755
esp8266,wine,1,140,6119
esp8266,wine,2,141,6865
esp8266,wine,2,142,6856
esp8266,wine,2,143,6747
esp8266,wine,0,144,6865
esp8266,wine,0,145,6858
esp8266,wine,2,146,6776
esp8266,wine,0,147,6868
esp8266,wine,0,148,6777
esp8266,wine,1,149,6802
esp8266,wine,1,150,6123
esp8266,wine,2,151,6861
esp8266,wine,2,152,6852
esp8266,wine,2,153,6846
esp8266,wine,0,154,6770
esp8266,wine,0,155,6782
esp8266,wine,2,156,6755
esp8266,wine,0,157,6857
esp8266,wine,0,158,6735
esp8266,wine,1,159,6861
esp8266,wine,1,160,6036
esp8266,wine,2,161,6865
esp8266,wine,2,162,6856
esp8266,wine,2,163,6807
esp8266,wine,0,164,6758
esp8266,wine,0,165,6868
esp8266,wine,2,166,6768
esp8266,wine,0,167,6762
esp8266,wine,0,168,6790
esp8266,wine,1,169,6747
esp8266,wine,1,170,6131
esp8266,wine,2,171,6864
esp8266,wine,2,172,6849
esp8266,wine,2,173,6846
esp8266,wine,0,174,6747
esp8266,wine,0,175,6854
esp8266,wine,2,176,6763
esp8266,wine,0,177,6875
esp8266,wine,0,178,6746
esp8266,wine,1,179,6762
esp8266,wine,1,180,6048
esp8266,wine,2,181,6861
esp8266,wine,2,182,6758
esp8266,wine,2,183,6858
esp8266,wine,0,184,6868
esp8266,wine,0,185,6854
esp8266,wine,2,186,6851
esp8266,wine,0,187,6749
esp8266,wine,0,188,6865
esp8266,wine,1,189,6860
esp8266,wine,1,190,6056
esp8266,wine,2,191,6857
esp8266,wine,2,192,6857
esp8266,wine,2,193,6846
esp8266,wine,0,194,6790
esp8266,wine,0,195,6911
esp8266,wine,2,196,6705
esp8266,wine,0,197,6804
esp8266,wine,0,198,6850
esp8266,wine,1,199,6853
esp8266,wine,1,200,6032
